"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 31 01:33:54 UTC 2025","Wed Dec 31 01:33:59 UTC 2025","4906","chromium","schedule.spec.js","Schedule Management","","","TC-SCHED-04: Verify newly added event is visible",""
"passed","Wed Dec 31 01:34:48 UTC 2025","Wed Dec 31 01:34:49 UTC 2025","966","chromium","student.spec.js","Student Management","","","TC-02: Verify existing student is present",""
"passed","Wed Dec 31 01:33:51 UTC 2025","Wed Dec 31 01:33:54 UTC 2025","3043","chromium","schedule.spec.js","Schedule Management","","","TC-SCHED-02: Verify today's date is displayed correctly",""
"failed","Wed Dec 31 01:34:31 UTC 2025","Wed Dec 31 01:34:47 UTC 2025","16015","chromium","schedule.spec.js","Schedule Management","","","TC-SCHED-05: Edit an existing event",""
"passed","Wed Dec 31 01:33:53 UTC 2025","Wed Dec 31 01:33:58 UTC 2025","4988","chromium","schedule.spec.js","Schedule Management","","","TC-SCHED-03: Create an event for today",""
"passed","Wed Dec 31 01:34:49 UTC 2025","Wed Dec 31 01:34:52 UTC 2025","3032","chromium","student.spec.js","Student Management","","","TC-03: Add a new student successfully",""
"passed","Wed Dec 31 01:33:51 UTC 2025","Wed Dec 31 01:33:53 UTC 2025","2417","chromium","schedule.spec.js","Schedule Management","","","TC-SCHED-01: Verify page title is displayed correctly",""
"passed","Wed Dec 31 01:34:49 UTC 2025","Wed Dec 31 01:34:52 UTC 2025","3103","chromium","student.spec.js","Student Management","","","TC-04: Verify newly added student is visible",""
"failed","Wed Dec 31 01:34:31 UTC 2025","Wed Dec 31 01:34:47 UTC 2025","15833","chromium","schedule.spec.js","Schedule Management","","","TC-SCHED-06: Verify edited event shows updated information",""
"passed","Wed Dec 31 01:34:47 UTC 2025","Wed Dec 31 01:34:49 UTC 2025","1186","chromium","student.spec.js","Student Management","","","TC-01: Verify page title is displayed correctly",""
